Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2021,Alberta,Hospitals,"8,86,20,74,711","8,94,17,96,693","17,80,38,71,404",468.8,81.53
2022,Alberta,Hospitals,"9,22,31,29,905","9,31,36,05,074","18,53,67,34,979",471.8,81.61
2023,Alberta,Hospitals,"10,08,37,51,378","10,17,66,34,594","20,26,03,85,972",480.9,81.68
2003,Alberta,Physicians,"1,48,83,78,250","1,56,52,92,633","3,05,36,70,883",388.6,79.76
2004,Alberta,Physicians,"1,56,02,56,250","1,64,68,78,127","3,20,71,34,377",390.2,79.85
2005,Alberta,Physicians,"1,73,26,92,480","1,82,80,39,706","3,56,07,32,186",398.3,80
2006,Alberta,Physicians,"1,93,73,29,259","2,04,23,34,718","3,97,96,63,977",405.7,80.23
2007,Alberta,Physicians,"2,18,78,07,561","2,28,92,08,171","4,47,70,15,733",405.5,80.34
2008,Alberta,Physicians,"2,57,90,00,945","2,69,24,98,018","5,27,14,98,963",407.6,80.44
2009,Alberta,Physicians,"2,91,38,46,000","3,03,35,55,726","5,94,74,01,726",409.8,80.55
2010,Alberta,Physicians,"3,21,11,36,500","3,33,16,49,604","6,54,27,86,104",409,80.81
2011,Alberta,Physicians,"3,47,41,80,500","3,60,51,29,485","7,07,93,09,985",426.9,81.14
2012,Alberta,Physicians,"3,66,04,65,750","3,79,57,25,505","7,45,61,91,255",420.7,81.33
2013,Alberta,Physicians,"3,92,82,61,250","4,05,88,25,700","7,98,70,86,950",417.6,81.37
2014,Alberta,Physicians,"4,20,21,51,750","4,33,56,97,178","8,53,78,48,928",438.2,81.37
2015,Alberta,Physicians,"4,52,45,02,250","4,68,06,58,384","9,20,51,60,634",439.4,81.37
2016,Alberta,Physicians,"4,77,02,62,500","4,92,69,37,429","9,69,71,99,929",444.3,81.43
2017,Alberta,Physicians,"4,99,08,32,750","5,14,94,79,724","10,14,03,12,474",447,81.42
2018,Alberta,Physicians,"5,16,05,74,500","5,34,04,60,273","10,50,10,34,773",460.3,81.45
2019,Alberta,Physicians,"5,29,17,27,000","5,48,01,45,952","10,77,18,72,952",469.9,81.63
2020,Alberta,Physicians,"5,01,72,69,750","5,18,26,25,669","10,19,98,95,419",432.3,81.46
2021,Alberta,Physicians,"5,30,64,96,219","5,49,26,48,385","10,79,91,44,604",468.8,81.53
2022,Alberta,Physicians,"5,81,58,04,061","6,01,59,59,700","11,83,17,63,761",471.8,81.61
2023,Alberta,Physicians,"6,06,46,71,776","6,27,07,55,419","12,33,54,27,195",480.9,81.68
2003,Alberta,Other Professionals,"10,73,96,777","28,59,71,135","39,33,67,912",#NAME?,79.76
2004,Alberta,Other Professionals,"11,97,72,375","29,06,33,745","41,04,06,120",390.2,79.85
2005,Alberta,Other Professionals,"12,49,85,672","27,84,51,235","40,34,36,907",398.3,80
2006,Alberta,Other Professionals,"17,14,12,888","28,90,34,948","46,04,47,835",405.7,80.23
2007,Alberta,Other Professionals,"19,09,22,176","32,05,00,000","51,14,22,176",405.5,80.34
2008,Alberta,Other Professionals,"20,57,33,405","31,52,07,330","52,09,40,734",407.6,80.44
2009,Alberta,Other Professionals,"21,54,04,017","33,32,55,098","54,86,59,115",409.8,80.55
2010,Alberta,Other Professionals,"22,54,83,070","36,98,23,399","59,53,06,469",409,80.81
2011,Alberta,Other Professionals,"23,42,10,458","38,83,46,792","62,25,57,249",426.9,81.14
2012,Alberta,Other Professionals,"24,92,20,779","39,33,06,081","64,25,26,860",420.7,81.33
2013,Alberta,Other Professionals,"25,99,46,407","40,83,66,409","66,83,12,816",417.6,81.37
2014,Alberta,Other Professionals,"28,43,49,103","44,47,97,041","72,91,46,143",438.2,81.37
2015,Alberta,Other Professionals,"31,45,82,470","49,16,44,610","80,62,27,080",439.4,81.37
2016,Alberta,Other Professionals,"34,00,37,865","48,35,60,539","82,35,98,404",444.3,81.43
2017,Alberta,Other Professionals,"35,64,51,384","51,61,80,341","87,26,31,726",447,81.42
2018,Alberta,Other Professionals,"37,18,02,028","55,04,70,896","92,22,72,924",460.3,81.45
2019,Alberta,Other Professionals,"38,74,40,397","62,07,63,863","1,00,82,04,260",469.9,81.63
2020,Alberta,Other Professionals,"32,05,57,516","52,23,57,627","84,29,15,144",432.3,81.46
2021,Alberta,Other Professionals,"37,24,79,217","63,61,13,776","1,00,85,92,993",468.8,81.53
2022,Alberta,Other Professionals,"40,47,60,963","71,08,91,236","1,11,56,52,199",471.8,81.61
2023,Alberta,Other Professionals,"45,99,92,945","77,37,69,535","1,23,37,62,480",480.9,81.68
2003,Alberta,Drugs,"58,81,77,246","66,32,11,890","1,25,13,89,136",388.6,79.76
2004,Alberta,Drugs,"64,68,40,000","72,54,83,856","1,37,23,23,856",390.2,79.85
2005,Alberta,Drugs,"70,92,89,866","79,17,31,314","1,50,10,21,179",398.3,80
2006,Alberta,Drugs,"75,89,21,357","84,57,90,678","1,60,47,12,035",405.7,80.23
2007,Alberta,Drugs,"79,25,15,350","88,05,71,586","1,67,30,86,936",405.5,80.34
2008,Alberta,Drugs,"82,76,55,811","91,60,03,110","1,74,36,58,921",407.6,80.44
2009,Alberta,Drugs,"1,00,77,95,873","1,09,65,98,046","2,10,43,93,918",409.8,80.55
2010,Alberta,Drugs,"1,13,59,38,613","1,22,51,42,839","2,36,10,81,452",409,80.81
2011,Alberta,Drugs,"1,24,05,78,453","1,33,16,17,776","2,57,21,96,229",426.9,81.14
2012,Alberta,Drugs,"1,23,77,17,771","1,32,69,76,072","2,56,46,93,844",420.7,81.33
2013,Alberta,Drugs,"1,26,69,40,266","1,35,17,95,831","2,61,87,36,098",417.6,81.37
2014,Alberta,Drugs,"1,30,89,43,726","1,39,33,49,342","2,70,22,93,068",438.2,81.37
2015,Alberta,Drugs,"1,44,86,06,700","1,53,72,48,214","2,98,58,54,914",439.4,81.37
2016,Alberta,Drugs,"1,54,04,40,650","1,63,52,24,643","3,17,56,65,293",444.3,81.43
2017,Alberta,Drugs,"1,55,66,19,675","1,65,60,70,574","3,21,26,90,248",447,81.42
2018,Alberta,Drugs,"1,57,63,51,815","1,67,90,82,257","3,25,54,34,072",460.3,81.45
2019,Alberta,Drugs,"1,65,19,95,139","1,76,56,83,079","3,41,76,78,218",469.9,81.63
2020,Alberta,Drugs,"1,73,52,14,806","1,86,92,23,756","3,60,44,38,562",432.3,81.46
2021,Alberta,Drugs,"1,73,12,15,237","1,88,38,96,559","3,61,51,11,796",468.8,81.53
2022,Alberta,Drugs,"1,85,60,55,102","2,03,28,10,487","3,88,88,65,588",471.8,81.61
2023,Alberta,Drugs,"1,93,89,42,528","2,12,60,06,217","4,06,49,48,745",480.9,81.68
2003,Alberta,Public Health,"74,37,52,153","99,71,81,511","1,74,09,33,665",388.6,79.76
2004,Alberta,Public Health,"86,99,53,151","1,13,21,66,652","2,00,21,19,803",390.2,79.85
2005,Alberta,Public Health,"1,16,00,54,958","1,40,55,15,544","2,56,55,70,502",398.3,80
2006,Alberta,Public Health,"1,29,07,26,707","1,54,57,66,137","2,83,64,92,844",405.7,80.23
2007,Alberta,Public Health,"1,46,97,43,099","1,77,62,45,030","3,24,59,88,128",405.5,80.34
2008,Alberta,Public Health,"1,53,86,07,809","1,85,66,06,011","3,39,52,13,821",407.6,80.44
2009,Alberta,Public Health,"1,10,39,14,453","1,45,36,88,256","2,55,76,02,709",409.8,80.55
2010,Alberta,Public Health,"1,13,07,25,631","1,47,73,23,899","2,60,80,49,530",409,80.81
2011,Alberta,Public Health,"1,17,18,88,105","1,53,59,66,448","2,70,78,54,553",426.9,81.14
2012,Alberta,Public Health,"1,20,47,02,075","1,57,75,55,047","2,78,22,57,121",420.7,81.33
2013,Alberta,Public Health,"1,23,63,06,217","1,63,62,10,448","2,87,25,16,665",417.6,81.37
2014,Alberta,Public Health,"1,34,48,49,138","1,76,21,30,957","3,10,69,80,094",438.2,81.37
2015,Alberta,Public Health,"1,39,33,86,355","1,82,68,19,586","3,22,02,05,941",439.4,81.37
2016,Alberta,Public Health,"1,49,76,17,768","1,94,57,03,537","3,44,33,21,305",444.3,81.43
2017,Alberta,Public Health,"1,53,02,93,235","1,99,93,21,154","3,52,96,14,390",447,81.42
2018,Alberta,Public Health,"1,66,33,01,793","2,17,85,37,666","3,84,18,39,458",460.3,81.45
2019,Alberta,Public Health,"1,71,36,76,096","2,24,90,74,489","3,96,27,50,584",469.9,81.63
2020,Alberta,Public Health,"1,70,97,04,189","2,28,24,34,768","3,99,21,38,956",432.3,81.46
2021,Alberta,Public Health,"1,78,22,89,737","2,43,39,02,813","4,21,61,92,550",468.8,81.53
2022,Alberta,Public Health,"2,56,32,31,905","3,31,58,90,453","5,87,91,22,359",471.8,81.61
2023,Alberta,Public Health,"2,47,34,42,193","3,26,22,65,065","5,73,57,07,258",480.9,81.68
2003,Alberta,Administration,"14,29,08,184","22,18,97,403","36,48,05,587",388.6,79.76
2004,Alberta,Administration,"15,72,01,035","24,25,32,820","39,97,33,855",390.2,79.85
2005,Alberta,Administration,"17,62,47,433","26,79,35,864","44,41,83,297",398.3,80
2006,Alberta,Administration,"17,76,21,983","26,77,16,137","44,53,38,120",405.7,80.23
2007,Alberta,Administration,"17,82,94,380","27,96,55,174","45,79,49,553",405.5,80.34
2008,Alberta,Administration,"22,84,81,281","32,87,03,496","55,71,84,777",407.6,80.44
2009,Alberta,Administration,"20,47,81,601","31,50,28,303","51,98,09,905",409.8,80.55
2010,Alberta,Administration,"21,07,28,750","31,90,40,968","52,97,69,718",409,80.81
2011,Alberta,Administration,"16,25,31,500","28,28,68,316","44,53,99,816",426.9,81.14
2012,Alberta,Administration,"16,19,74,500","29,45,47,989","45,65,22,489",420.7,81.33
2013,Alberta,Administration,"15,98,40,500","29,83,92,890","45,82,33,390",417.6,81.37
2014,Alberta,Administration,"14,94,54,000","27,89,00,574","42,83,54,574",438.2,81.37
2015,Alberta,Administration,"13,28,04,000","25,67,21,024","38,95,25,024",439.4,81.37
2016,Alberta,Administration,"13,15,84,250","26,14,82,387","39,30,66,637",444.3,81.43
2017,Alberta,Administration,"13,22,67,250","28,55,36,615","41,78,03,865",447,81.42
2018,Alberta,Administration,"13,71,06,250","30,16,20,861","43,87,27,111",460.3,81.45
2019,Alberta,Administration,"13,58,78,500","30,91,08,898","44,49,87,398",469.9,81.63
2020,Alberta,Administration,"13,78,43,500","32,57,28,473","46,35,71,973",432.3,81.46
2021,Alberta,Administration,"15,25,47,250","33,74,53,775","49,00,01,025",468.8,81.53
2022,Alberta,Administration,"17,51,95,706","38,24,58,971","55,76,54,677",471.8,81.61
2023,Alberta,Administration,"20,89,15,985","42,80,61,542","63,69,77,527",480.9,81.68
2003,Alberta,Other Health Spending: Net of HCC,"59,90,33,138","80,51,88,039","1,40,42,21,177",388.6,79.76
2004,Alberta,Other Health Spending: Net of HCC,"62,23,94,830","82,69,12,839","1,44,93,07,668",390.2,79.85
2005,Alberta,Other Health Spending: Net of HCC,"63,44,46,861","83,76,85,485","1,47,21,32,346",398.3,80
2006,Alberta,Other Health Spending: Net of HCC,"71,54,52,191","93,99,61,701","1,65,54,13,892",405.7,80.23
2007,Alberta,Other Health Spending: Net of HCC,"74,26,23,662","98,44,51,196","1,72,70,74,859",405.5,80.34
2008,Alberta,Other Health Spending: Net of HCC,"75,88,00,463","1,00,04,50,990","1,75,92,51,452",407.6,80.44
2009,Alberta,Other Health Spending: Net of HCC,"1,02,64,50,845","1,28,16,78,185","2,30,81,29,029",409.8,80.55
2010,Alberta,Other Health Spending: Net of HCC,"1,30,38,21,338","1,54,87,91,267","2,85,26,12,605",409,80.81
2011,Alberta,Other Health Spending: Net of HCC,"1,40,29,54,980","1,64,29,88,555","3,04,59,43,535",426.9,81.14
2012,Alberta,Other Health Spending: Net of HCC,"1,53,87,83,754","1,81,05,87,710","3,34,93,71,464",420.7,81.33
2013,Alberta,Other Health Spending: Net of HCC,"90,98,22,773","1,98,21,34,263","2,89,19,57,035",417.6,81.37
2014,Alberta,Other Health Spending: Net of HCC,"90,19,25,357","2,03,59,01,960","2,93,78,27,317",438.2,81.37
2015,Alberta,Other Health Spending: Net of HCC,"88,27,08,441","2,04,61,15,762","2,92,88,24,203",439.4,81.37
2016,Alberta,Other Health Spending: Net of HCC,"92,41,30,550","2,15,07,24,130","3,07,48,54,680",444.3,81.43
2017,Alberta,Other Health Spending: Net of HCC,"1,00,26,87,686","2,32,44,62,061","3,32,71,49,747",447,81.42
2018,Alberta,Other Health Spending: Net of HCC,"1,04,01,26,930","2,46,47,59,733","3,50,48,86,662",460.3,81.45
2019,Alberta,Other Health Spending: Net of HCC,"1,01,44,27,207","2,49,01,43,041","3,50,45,70,248",469.9,81.63
2020,Alberta,Other Health Spending: Net of HCC,"1,02,09,07,274","2,51,45,26,918","3,53,54,34,191",432.3,81.46
2021,Alberta,Other Health Spending: Net of HCC,"91,78,62,050","2,41,27,90,164","3,33,06,52,214",468.8,81.53
2022,Alberta,Other Health Spending: Net of HCC,"99,22,72,290","2,56,29,01,090","3,55,51,73,381",471.8,81.61
2023,Alberta,Other Health Spending: Net of HCC,"1,17,44,86,720","2,88,46,44,219","4,05,91,30,939",480.9,81.68
2003,Alberta,COVID-19 Response Funding,—,—,0,388.6,79.76
2004,Alberta,COVID-19 Response Funding,—,—,0,390.2,79.85
2005,Alberta,COVID-19 Response Funding,—,—,0,398.3,80
2006,Alberta,COVID-19 Response Funding,—,—,0,405.7,80.23
2007,Alberta,COVID-19 Response Funding,—,—,0,405.5,80.34
2008,Alberta,COVID-19 Response Funding,—,—,0,407.6,80.44
2009,Alberta,COVID-19 Response Funding,—,—,0,409.8,80.55
2010,Alberta,COVID-19 Response Funding,—,—,0,409,80.81
2011,Alberta,COVID-19 Response Funding,—,—,0,426.9,81.14
2012,Alberta,COVID-19 Response Funding,—,—,0,420.7,81.33
2013,Alberta,COVID-19 Response Funding,—,—,0,417.6,81.37
2014,Alberta,COVID-19 Response Funding,—,—,0,438.2,81.37
2015,Alberta,COVID-19 Response Funding,—,—,0,439.4,81.37
2016,Alberta,COVID-19 Response Funding,—,—,0,444.3,81.43
2017,Alberta,COVID-19 Response Funding,—,—,0,447,81.42
2018,Alberta,COVID-19 Response Funding,—,—,0,460.3,81.45
2019,Alberta,COVID-19 Response Funding,—,—,0,469.9,81.63
2020,Alberta,COVID-19 Response Funding,"1,26,33,37,188","2,87,34,54,504","4,13,67,91,693",432.3,81.46
2021,Alberta,COVID-19 Response Funding,"1,65,49,18,038","3,11,44,67,669","4,76,93,85,707",468.8,81.53
2022,Alberta,COVID-19 Response Funding,"41,92,09,770","73,43,23,813","1,15,35,33,583",471.8,81.61
2023,Alberta,COVID-19 Response Funding,—,—,0,480.9,81.68
2003,Alberta,Total,"8,28,69,57,621","9,23,55,87,580","17,52,25,45,201",388.6,79.76
2004,Alberta,Total,"9,11,03,45,135","10,08,23,94,213","19,19,27,39,348",390.2,79.85
2005,Alberta,Total,"10,19,75,15,272","11,15,99,79,420","21,35,74,94,692",398.3,80
2006,Alberta,Total,"11,25,86,84,894","12,23,91,32,460","23,49,78,17,354",405.7,80.23
2007,Alberta,Total,"12,70,41,04,330","13,77,55,17,067","26,47,96,21,397",405.5,80.34
2008,Alberta,Total,"13,73,96,03,482","14,82,38,91,672","28,56,34,95,154",407.6,80.44
2009,Alberta,Total,"14,58,66,22,472","15,73,64,71,195","30,32,30,93,667",409.8,80.55
2010,Alberta,Total,"16,36,72,31,271","17,52,65,89,490","33,89,38,20,761",409,80.81
2011,Alberta,Total,"16,91,82,73,802","18,13,29,69,180","35,05,12,42,982",426.9,81.14
2012,Alberta,Total,"17,72,67,28,064","18,98,99,90,505","36,71,67,18,569",420.7,81.33
2013,Alberta,Total,"18,46,05,65,047","19,76,72,02,218","38,22,77,67,265",417.6,81.37
2014,Alberta,Total,"19,13,78,03,142","20,47,30,63,476","39,61,08,66,618",438.2,81.37
2015,Alberta,Total,"19,87,56,30,395","21,31,74,44,962","41,19,30,75,357",439.4,81.37
2016,Alberta,Total,"20,68,75,21,024","22,09,07,81,757","42,77,83,02,780",444.3,81.43
2017,Alberta,Total,"21,50,60,07,956","22,99,12,41,024","44,49,72,48,980",447,81.42
2018,Alberta,Total,"22,20,70,53,004","23,81,83,39,982","46,02,53,92,986",460.3,81.45
2019,Alberta,Total,"22,61,14,51,414","24,32,84,63,386","46,93,99,14,800",469.9,81.63
2020,Alberta,Total,"23,99,05,77,669","27,38,04,51,107","51,37,10,28,776",432.3,81.46
2021,Alberta,Total,"25,01,33,84,403","28,37,96,70,015","53,39,30,54,418",468.8,81.53
2022,Alberta,Total,"25,79,92,52,881","28,25,22,09,949","54,05,14,62,831",471.8,81.61
2023,Alberta,Total,"27,13,83,63,992","29,37,66,64,002","56,51,50,27,994",480.9,81.68
2003,British Columbia,Hospitals,"4,35,51,73,316","4,41,05,08,588","8,76,56,81,904",442.5,80.42
2004,British Columbia,Hospitals,"4,39,84,83,023","4,46,33,34,325","8,86,18,17,348",452.6,80.63
2005,British Columbia,Hospitals,"4,52,40,85,070","4,59,64,68,827","9,12,05,53,896",465.1,80.76
2006,British Columbia,Hospitals,"4,75,20,92,146","4,82,61,68,871","9,57,82,61,017",473.7,80.92
2007,British Columbia,Hospitals,"5,04,81,69,655","5,12,81,12,398","10,17,62,82,052",498.4,81.07
2008,British Columbia,Hospitals,"5,55,13,66,950","5,64,16,31,668","11,19,29,98,618",493.6,81.23
2009,British Columbia,Hospitals,"5,84,35,13,861","5,92,98,41,822","11,77,33,55,683",505.5,81.49
2010,British Columbia,Hospitals,"6,40,27,76,516","6,50,01,98,621","12,90,29,75,137",503.3,81.82
2011,British Columbia,Hospitals,"6,32,64,51,624","6,42,26,87,135","12,74,91,38,758",516.1,82.15
2012,British Columbia,Hospitals,"6,35,22,63,114","6,45,19,46,029","12,80,42,09,143",522.5,82.36
2013,British Columbia,Hospitals,"6,50,54,38,152","6,60,34,57,354","13,10,88,95,506",524.6,82.47
2014,British Columbia,Hospitals,"6,74,14,56,365","6,83,31,49,168","13,57,46,05,534",518.4,82.59
2015,British Columbia,Hospitals,"7,03,51,62,714","7,12,53,57,556","14,16,05,20,270",528.2,82.61
2016,British Columbia,Hospitals,"7,28,04,73,953","7,37,34,10,382","14,65,38,84,335",527.3,82.54
2017,British Columbia,Hospitals,"7,58,59,47,482","7,68,73,16,156","15,27,32,63,637",518.7,82.34
2018,British Columbia,Hospitals,"7,99,64,95,858","8,09,77,12,342","16,09,42,08,199",541.9,82.21
2019,British Columbia,Hospitals,"8,50,53,54,406","8,60,52,91,963","17,11,06,46,369",554,82.36
2020,British Columbia,Hospitals,"8,89,99,22,515","8,99,24,48,769","17,89,23,71,284",514.4,82.39
2021,British Columbia,Hospitals,"9,33,50,19,342","9,43,62,67,177","18,77,12,86,519",548.2,82.43
2022,British Columbia,Hospitals,"10,37,81,97,591","10,48,96,23,956","20,86,78,21,547",556.4,82.46
2023,British Columbia,Hospitals,"10,99,88,52,203","11,11,30,32,157","22,11,18,84,360",564.5,82.54
2003,British Columbia,Physicians,"2,48,60,46,947","2,54,08,60,524","5,02,69,07,471",442.5,80.42
2004,British Columbia,Physicians,"2,47,61,16,943","2,53,80,92,257","5,01,42,09,200",452.6,80.63
2005,British Columbia,Physicians,"2,58,79,04,783","2,65,77,13,904","5,24,56,18,687",465.1,80.76
2006,British Columbia,Physicians,"2,79,96,49,441","2,86,99,04,474","5,66,95,53,915",473.7,80.92
2007,British Columbia,Physicians,"3,01,12,49,970","3,09,22,82,616","6,10,35,32,586",498.4,81.07
2008,British Columbia,Physicians,"3,16,76,17,358","3,25,43,50,518","6,42,19,67,877",493.6,81.23
2009,British Columbia,Physicians,"3,31,19,62,870","3,38,60,00,030","6,69,79,62,900",505.5,81.49
2010,British Columbia,Physicians,"3,47,51,75,645","3,56,58,77,847","7,04,10,53,492",503.3,81.82
2011,British Columbia,Physicians,"3,68,05,90,397","3,77,27,17,060","7,45,33,07,457",516.1,82.15
2012,British Columbia,Physicians,"3,72,05,46,292","3,82,05,48,427","7,54,10,94,719",522.5,82.36
2013,British Columbia,Physicians,"3,86,22,76,860","3,95,90,35,887","7,82,13,12,747",524.6,82.47
2014,British Columbia,Physicians,"3,93,30,09,582","4,02,37,58,182","7,95,67,67,764",518.4,82.59
2015,British Columbia,Physicians,"4,09,55,08,795","4,18,49,56,841","8,28,04,65,636",528.2,82.61
2016,British Columbia,Physicians,"4,29,74,64,401","4,38,25,18,537","8,67,99,82,938",527.3,82.54
2017,British Columbia,Physicians,"4,41,27,89,786","4,50,62,48,728","8,91,90,38,514",518.7,82.34
2018,British Columbia,Physicians,"4,61,68,89,106","4,71,33,81,964","9,33,02,71,070",541.9,82.21
2019,British Columbia,Physicians,"4,91,49,69,798","5,01,48,87,596","9,92,98,57,393",554,82.36
2020,British Columbia,Physicians,"4,99,29,48,624","5,08,66,01,675","10,07,95,50,299",514.4,82.39
2021,British Columbia,Physicians,"5,44,30,81,702","5,54,92,10,578","10,99,22,92,281",548.2,82.43
2022,British Columbia,Physicians,"5,71,70,64,107","5,82,49,97,120","11,54,20,61,227",556.4,82.46
2023,British Columbia,Physicians,"6,64,40,95,969","6,75,52,56,160","13,39,93,52,129",564.5,82.54
2003,British Columbia,Other Professionals,"8,79,31,494","15,52,75,889","24,32,07,383",442.5,80.42
2004,British Columbia,Other Professionals,"9,34,61,922","16,20,18,161","25,54,80,083",452.6,80.63
2005,British Columbia,Other Professionals,"10,66,95,027","17,94,80,103","28,61,75,130",465.1,80.76
2006,British Columbia,Other Professionals,"11,13,46,125","18,28,22,498","29,41,68,623",473.7,80.92
2007,British Columbia,Other Professionals,"11,50,40,490","19,31,75,624","30,82,16,114",498.4,81.07
2008,British Columbia,Other Professionals,"12,85,01,594","22,63,26,315","35,48,27,909",493.6,81.23
2009,British Columbia,Other Professionals,"14,08,26,410","24,13,56,840","38,21,83,250",505.5,81.49
2010,British Columbia,Other Professionals,"14,97,11,951","25,88,59,452","40,85,71,402",503.3,81.82
2011,British Columbia,Other Professionals,"15,99,01,263","27,25,95,322","43,24,96,586",516.1,82.15
2012,British Columbia,Other Professionals,"16,56,10,309","28,78,75,837","45,34,86,146",522.5,82.36
2013,British Columbia,Other Professionals,"16,89,97,068","28,94,48,823","45,84,45,891",524.6,82.47
2014,British Columbia,Other Professionals,"16,92,85,462","29,08,85,564","46,01,71,026",518.4,82.59
2015,British Columbia,Other Professionals,"17,45,59,464","30,47,55,307","47,93,14,771",528.2,82.61
2016,British Columbia,Other Professionals,"17,78,50,048","33,14,08,095","50,92,58,143",527.3,82.54
2017,British Columbia,Other Professionals,"19,11,85,110","36,02,02,182","55,13,87,292",518.7,82.34
2018,British Columbia,Other Professionals,"20,02,27,827","37,88,33,899","57,90,61,726",541.9,82.21
2019,British Columbia,Other Professionals,"20,33,43,379","39,94,12,971","60,27,56,350",554,82.36
2020,British Columbia,Other Professionals,"18,74,97,388","36,85,27,499","55,60,24,887",514.4,82.39
2021,British Columbia,Other Professionals,"20,36,94,589","39,16,57,300","59,53,51,889",548.2,82.43
2022,British Columbia,Other Professionals,"21,31,35,941","42,13,97,165","63,45,33,106",556.4,82.46
